,Hectares ,Agriblock,Variety,Soil Types,Seedrate(in Kg),LP_Mainfield(in Tonnes),Nursery,Nursery area (Cents),LP_nurseryarea(in Tonnes),DAP_20days,Weed28D_thiobencarb,Urea_40Days,Potassh_50Days,Micronutrients_70Days,Pest_60Day(in ml),30DRain( in mm),30DAI(in mm),30_50DRain( in mm),30_50DAI(in mm),51_70DRain(in mm),51_70AI(in mm),71_105DRain(in mm),71_105DAI(in mm),Min temp_D1_D30,Max temp_D1_D30,Min temp_D31_D60,Max temp_D31_D60,Min temp_D61_D90,Max temp_D61_D90,Min temp_D91_D120,Max temp_D91_D120,Inst Wind Speed_D1_D30(in Knots),Inst Wind Speed_D31_D60(in Knots),Inst Wind Speed_D61_D90(in Knots),Inst Wind Speed_D91_D120(in Knots),Wind Direction_D1_D30,Wind Direction_D31_D60,Wind Direction_D61_D90,Wind Direction_D91_D120,Relative Humidity_D1_D30,Relative Humidity_D31_D60,Relative Humidity_D61_D90,Relative Humidity_D91_D120,Trash(in bundles),Paddy yield(in Kg),⚠️ Problem Detail
639,5,Kallakurichi,CO_43,alluvial,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33,17.0,32,16.5,31.5,15.5,32.5,8,6,8,6,--,WNW,SE,S,88.5,95,81,84,450,32080,Variety: 'CO_43'
642,5,Cuddalore,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,--,NNW,WSW,72.0,78,88,85,450,30460,Variety: 'CO_43'
645,5,Kallakurichi,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33,17.0,32,16.5,31.5,15.5,32.5,8,6,8,6,W,WNW,--,S,88.5,95,81,84,450,30355,Variety: 'CO_43'
648,5,Cuddalore,CO_43,clay,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,W,NNW,--,72.0,78,88,85,450,30545,Variety: 'CO_43'
651,5,Kallakurichi,CO_43,alluvial,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33,17.0,32,16.5,31.5,15.5,32.5,8,6,8,6,--,WNW,SE,S,88.5,95,81,84,450,31400,Variety: 'CO_43'
654,5,Cuddalore,CO_43,alluvial,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,--,NNW,WSW,72.0,78,88,85,450,31555,Variety: 'CO_43'
660,5,Cuddalore,CO_43,alluvial,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,,34,,30,,31.0,,33.0,4,10,8,10,SW,W,NNW,--,72.0,78,88,85,450,31045,Variety: 'CO_43'
669,5,Kallakurichi,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33,17.0,32,16.5,31.5,15.5,32.5,8,6,8,6,W,WNW,--,S,88.5,95,81,84,450,31555,Variety: 'CO_43'
672,5,Cuddalore,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,W,NNW,--,72.0,78,88,85,450,30250,Variety: 'CO_43'
675,5,Kallakurichi,CO_43,clay,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33,17.0,32,16.5,31.5,15.5,32.5,8,6,8,6,--,WNW,SE,S,88.5,95,81,84,450,31045,Variety: 'CO_43'
678,5,Cuddalore,CO_43,alluvial,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,--,NNW,WSW,72.0,78,88,85,450,31135,Variety: 'CO_43'
681,5,Kallakurichi,CO_43,alluvial,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33,17.0,32,16.5,31.5,15.5,32.5,8,6,8,6,W,WNW,--,S,88.5,95,81,84,450,31400,Variety: 'CO_43'
684,5,Cuddalore,CO_43,alluvial,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,W,NNW,--,72.0,78,88,85,450,31555,Variety: 'CO_43'
687,5,Kallakurichi,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33,17.0,32,16.5,31.5,15.5,32.5,8,6,8,6,--,WNW,SE,S,88.5,95,81,84,450,30250,Variety: 'CO_43'
690,5,Cuddalore,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,--,NNW,WSW,72.0,78,88,85,450,31045,Variety: 'CO_43'
693,5,Kallakurichi,CO_43,alluvial,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33,17.0,32,16.5,31.5,15.5,32.5,8,6,8,6,W,WNW,--,S,88.5,95,81,84,450,31135,Variety: 'CO_43'
696,5,Cuddalore,CO_43,clay,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,W,NNW,--,72.0,78,88,85,450,31400,Variety: 'CO_43'
702,5,Cuddalore,CO_43,clay,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,--,NNW,WSW,72.0,78,88,85,450,30250,Variety: 'CO_43'
711,5,Kallakurichi,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33,17.0,32,16.5,31.5,15.5,32.5,8,6,8,6,--,WNW,SE,S,88.5,95,81,84,450,31400,Variety: 'CO_43'
714,5,Cuddalore,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,--,NNW,WSW,72.0,78,88,85,450,31555,Variety: 'CO_43'
717,5,Kallakurichi,CO_43,alluvial,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33,17.0,32,16.5,31.5,15.5,32.5,8,6,8,6,W,WNW,--,S,88.5,95,81,84,450,30250,Variety: 'CO_43'
720,5,Cuddalore,CO_43,clay,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,W,NNW,--,72.0,78,88,85,450,31045,Variety: 'CO_43'
723,5,Kallakurichi,CO_43,clay,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33,17.0,32,16.5,31.5,15.5,32.5,8,6,8,6,--,WNW,SE,S,88.5,95,81,84,450,31135,Variety: 'CO_43'
726,5,Cuddalore,CO_43,clay,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,--,NNW,WSW,72.0,78,88,85,450,31980,Variety: 'CO_43'
729,5,Kallakurichi,CO_43,clay,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33,17.0,32,16.5,31.5,15.5,32.5,8,6,8,6,W,WNW,--,S,88.5,95,81,84,450,31420,Variety: 'CO_43'
732,5,Cuddalore,CO_43,clay,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,W,NNW,--,72.0,78,88,85,450,29190,Variety: 'CO_43'
735,5,Kallakurichi,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,,33,,32,,31.5,,32.5,8,6,8,6,--,WNW,SE,S,88.5,95,81,84,450,30610,Variety: 'CO_43'
738,5,Cuddalore,CO_43,alluvial,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,--,NNW,WSW,72.0,78,88,85,450,31605,Variety: 'CO_43'
744,5,Cuddalore,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,W,NNW,--,72.0,78,88,85,450,30885,Variety: 'CO_43'
753,5,Chinnasalem,CO_43,alluvial,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,18.0,31,15.5,34,15.0,33.0,15.0,31.5,6,6,8,10,E,ENE,--,NNW,78.6,80,92,88,450,31780,Variety: 'CO_43'
756,5,Kallakurichi,CO_43,alluvial,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33,17.0,32,16.5,31.5,15.5,32.5,8,6,8,6,W,WNW,SE,--,88.5,95,81,84,450,30575,Variety: 'CO_43'
759,5,Panruti,CO_43,alluvial,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,20.0,35,18.0,30,17.5,33.5,18.0,33.0,4,12,4,12,--,NE,NNE,W,85.0,96,84,79,450,31625,Variety: 'CO_43'
762,5,Panruti,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,20.0,35,18.0,30,17.5,33.5,18.0,33.0,4,12,4,12,ENE,--,NNE,W,85.0,96,84,79,450,30540,Variety: 'CO_43'
765,5,Cuddalore,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,W,--,WSW,72.0,78,88,85,450,31535,Variety: 'CO_43'
768,5,Cuddalore,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,W,NNW,--,72.0,78,88,85,450,31920,Variety: 'CO_43'
771,5,Kurinjipadi,CO_43,alluvial,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,--,S,SE,SSE,64.6,85,84,87,450,30285,Variety: 'CO_43'
774,5,Kurinjipadi,CO_43,alluvial,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,NW,--,SE,SSE,64.6,85,84,87,450,30250,Variety: 'CO_43'
777,5,Kurinjipadi,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,NW,S,--,SSE,64.6,85,84,87,450,31065,Variety: 'CO_43'
780,5,Sankarapuram,CO_43,clay,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,W,SW,--,72.7,91,83,81,450,30755,Variety: 'CO_43'
786,5,Sankarapuram,CO_43,clay,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,--,SW,NW,72.7,91,83,81,450,30805,Variety: 'CO_43'
795,5,Sankarapuram,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,--,W,SW,NW,72.7,91,83,81,450,30945,Variety: 'CO_43'
798,5,Sankarapuram,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,--,SW,NW,72.7,91,83,81,450,30575,Variety: 'CO_43'
801,5,Kurinjipadi,CO_43,alluvial,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,NW,S,--,SSE,64.6,85,84,87,450,31535,Variety: 'CO_43'
804,5,Sankarapuram,CO_43,alluvial,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,W,SW,--,72.7,91,83,81,450,32345,Variety: 'CO_43'
807,5,Kurinjipadi,CO_43,alluvial,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,--,S,SE,SSE,64.6,85,84,87,450,31535,Variety: 'CO_43'
810,5,Sankarapuram,CO_43,clay,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,,32,,28,,34.0,,35.0,10,12,10,12,SSE,--,SW,NW,72.7,91,83,81,450,32050,Variety: 'CO_43'
813,5,Kurinjipadi,CO_43,alluvial,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,NW,S,--,SSE,64.6,85,84,87,450,31815,Variety: 'CO_43'
816,5,Sankarapuram,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,W,SW,--,72.7,91,83,81,450,30575,Variety: 'CO_43'
819,5,Kurinjipadi,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,--,S,SE,SSE,64.6,85,84,87,450,32345,Variety: 'CO_43'
822,5,Sankarapuram,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,--,SW,NW,72.7,91,83,81,450,31535,Variety: 'CO_43'
828,5,Sankarapuram,CO_43,alluvial,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,W,SW,--,72.7,91,83,81,450,31815,Variety: 'CO_43'
837,5,Kurinjipadi,CO_43,alluvial,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,NW,S,--,SSE,64.6,85,84,87,450,31535,Variety: 'CO_43'
840,5,Sankarapuram,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,W,SW,--,72.7,91,83,81,450,32050,Variety: 'CO_43'
843,5,Kurinjipadi,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,--,S,SE,SSE,64.6,85,84,87,450,31815,Variety: 'CO_43'
846,5,Sankarapuram,CO_43,clay,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,--,SW,NW,72.7,91,83,81,450,30575,Variety: 'CO_43'
849,5,Kurinjipadi,CO_43,clay,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,NW,S,--,SSE,64.6,85,84,87,450,32345,Variety: 'CO_43'
852,5,Sankarapuram,CO_43,alluvial,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,W,SW,--,72.7,91,83,81,450,31535,Variety: 'CO_43'
855,5,Kurinjipadi,CO_43,alluvial,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,--,S,SE,SSE,64.6,85,84,87,450,32050,Variety: 'CO_43'
858,5,Sankarapuram,CO_43,alluvial,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,--,SW,NW,72.7,91,83,81,450,31815,Variety: 'CO_43'
861,5,Kurinjipadi,CO_43,alluvial,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,NW,S,--,SSE,64.6,85,84,87,450,30575,Variety: 'CO_43'
864,5,Sankarapuram,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,W,SW,--,72.7,91,83,81,450,32345,Variety: 'CO_43'
870,5,Sankarapuram,CO_43,alluvial,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,--,SW,NW,72.7,91,83,81,450,32050,Variety: 'CO_43'
879,5,Kurinjipadi,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,--,S,SE,SSE,64.6,85,84,87,450,32085,Variety: 'CO_43'
882,5,Sankarapuram,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,--,SW,NW,72.7,91,83,81,450,30405,Variety: 'CO_43'
885,5,Kurinjipadi,CO_43,alluvial,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,,34,,35,,32.5,,30.5,10,4,10,6,NW,S,--,SSE,64.6,85,84,87,450,31140,Variety: 'CO_43'
888,5,Sankarapuram,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,W,SW,--,72.7,91,83,81,450,30610,Variety: 'CO_43'
891,5,Kurinjipadi,CO_43,clay,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,--,S,SE,SSE,64.6,85,84,87,450,31605,Variety: 'CO_43'
894,5,Sankarapuram,CO_43,alluvial,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,--,SW,NW,72.7,91,83,81,450,32080,Variety: 'CO_43'
897,5,Kurinjipadi,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,NW,S,--,SSE,64.6,85,84,87,450,30885,Variety: 'CO_43'
900,5,Sankarapuram,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,W,SW,--,72.7,91,83,81,450,30945,Variety: 'CO_43'
903,5,Kurinjipadi,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,--,S,SE,SSE,64.6,85,84,87,450,30960,Variety: 'CO_43'
906,5,Sankarapuram,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,--,SW,NW,72.7,91,83,81,450,31780,Variety: 'CO_43'
912,5,Sankarapuram,CO_43,alluvial,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,W,SW,--,72.7,91,83,81,450,31625,Variety: 'CO_43'
921,5,Kurinjipadi,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,NW,S,--,SSE,64.6,85,84,87,450,31920,Variety: 'CO_43'
924,5,Sankarapuram,CO_43,clay,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,W,SW,--,72.7,91,83,81,450,30285,Variety: 'CO_43'
927,5,Kurinjipadi,CO_43,clay,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,--,S,SE,SSE,64.6,85,84,87,450,30250,Variety: 'CO_43'
930,5,Sankarapuram,CO_43,alluvial,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,--,SW,NW,72.7,91,83,81,450,31065,Variety: 'CO_43'
933,5,Kurinjipadi,CO_43,alluvial,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,NW,S,--,SSE,64.6,85,84,87,450,30755,Variety: 'CO_43'
936,5,Sankarapuram,CO_43,alluvial,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,W,SW,--,72.7,91,83,81,450,31045,Variety: 'CO_43'
939,5,Kurinjipadi,CO_43,alluvial,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,--,S,SE,SSE,64.6,85,84,87,450,30805,Variety: 'CO_43'
942,5,Sankarapuram,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,--,SW,NW,72.7,91,83,81,450,30610,Variety: 'CO_43'
945,5,Kurinjipadi,CO_43,clay,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,NW,S,--,SSE,64.6,85,84,87,450,31135,Variety: 'CO_43'
948,5,Sankarapuram,CO_43,alluvial,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,W,SW,--,72.7,91,83,81,450,30945,Variety: 'CO_43'
954,5,Kallakurichi,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33,17.0,32,16.5,31.5,15.5,32.5,8,6,8,6,W,--,SE,S,88.5,95,81,84,450,31535,Variety: 'CO_43'
963,5,Cuddalore,CO_43,alluvial,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,--,W,NNW,WSW,72.0,78,88,85,450,32050,Variety: 'CO_43'
966,5,Cuddalore,CO_43,alluvial,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,--,NNW,WSW,72.0,78,88,85,450,31815,Variety: 'CO_43'
